FEATURE_CLASS,FEATURE_CLASS_CURRENT,FEATURE_CLASS_DIRECTIONAL,OSM_GEOMETRY,OSM_PRIMARY_TAGS,OSM_SECONDARY_TAGS,OSM_CONFLICTING_TAGS,OSM_RELATION_TYPES
Airport,FALSE,FALSE,point|area,aeroway=aerodrome|aeroway=heliport|aeroway=spaceport,,,multipolygon
Arch,TRUE,FALSE,point,natural=arch,,,
Area,TRUE,FALSE,point|area,place=locality|place=*,,,multipolygon|boundary
Arroyo,TRUE,TRUE,line,waterway=stream,intermittent=yes,highway=*|natural=valley|power=*,waterway
Bar,TRUE,FALSE,point|area,place=islet|natural=sandbar,,,multipolygon
Basin,TRUE,FALSE,point|area,natural=basin,,,multipolygon
Bay,TRUE,FALSE,point|area,natural=bay,,,multipolygon|water
Beach,TRUE,FALSE,point|area,natural=beach,,,multipolygon
Bench,TRUE,FALSE,point,natural=flat,,,
Bend,TRUE,FALSE,point|line,waterway=bend,,,waterway
Bridge,FALSE,FALSE,point|line|area,man_made=bridge|bridge=*,,,bridge
Building,FALSE,FALSE,point|area,building=yes|amenity=police|amenity=fire_station|building=*,,,multipolygon|building
Canal,TRUE,TRUE,line,waterway=canal,,,waterway
Cape,TRUE,FALSE,point,natural=cape,,,multipolygon
Cemetery,FALSE,FALSE,point|area,landuse=cemetery,,,multipolygon
Census,TRUE,FALSE,area,boundary=census,,boundary=administrative|building=*|highway=*|waterway=*|power=*,multipolygon|boundary
Channel,TRUE,FALSE,point|line|area,natural=channel,,,multipolygon|waterway|water
Church,FALSE,FALSE,point|area,building=church|building=mosque|building=synagogue,amenity=place_of_worship,,multipolygon|building
Civil,TRUE,FALSE,area,boundary=administrative|boundary=aboriginal_lands,,building=*|highway=*|waterway=*|power=*,multipolygon|boundary
Cliff,TRUE,FALSE,point|line,natural=cliff,,,multilinestring
Crater,TRUE,FALSE,point|area,geological=volcanic_caldera_rim|natural=meteor_crater,,,
Crossing,TRUE,FALSE,point,ford=yes|route=ferry|bridge=yes,,,
Dam,FALSE,FALSE,point|line|area,waterway=dam,,,multipolygon
Falls,TRUE,FALSE,point,waterway=waterfall,,,
Flat,TRUE,FALSE,point,natural=flat|natural=mesa|natural=plateau|natural=wetland|landuse=meadow,,,
Forest,FALSE,FALSE,point|area,natural=wood|boundary=forest,,,multipolygon|boundary
Gap,TRUE,FALSE,point,natural=saddle,,,
Glacier,TRUE,FALSE,point|area,natural=glacier,,,multipolygon
Gut,TRUE,FALSE,point|line|area,natural=channel|waterway=tidal_channel,,,multipolygon|waterway|water
Harbor,FALSE,FALSE,point|area,harbour=yes|seamark:harbour:category=*,,,multipolygon|water
Hospital,FALSE,FALSE,point|area,amenity=hospital|amenity=clinic|building=hospital,,,multipolygon|building
Island,TRUE,FALSE,point|area,place=island|place=islet,,,multipolygon
Isthmus,TRUE,FALSE,point|area,natural=isthmus|natural=cape,,,multipolygon
Lake,TRUE,FALSE,point|area,natural=water,water=lake,,multipolygon|water|site|group
Lava,TRUE,FALSE,point|area,natural=bare_rock|natural=lava,bare_rock=lava_flow|bare_rock=lava_field|geological=volcanic_lava_field|geological=volcanic_lava_flow,natural=peak,multipolygon
Levee,TRUE,FALSE,line,man_made=dyke,,,multilinestring
Locale,FALSE,FALSE,point|area,place=locality|natural=wood|leisure=golf_course|tourism=camp_site|landuse=retail|landuse=commercial|leisure=garden|place=*,,building=*|highway=*|waterway=*|power=*,multipolygon|boundary
Military,TRUE,FALSE,point|area,landuse=military,,,multipolygon|boundary
Mine,FALSE,FALSE,point|area,historic=mine|landuse=quarry,,,multipolygon
Oilfield,FALSE,FALSE,point|area,man_made=oilfield|waterway=offshore_field|industrial=hydrocarbon_field,,,multipolygon
Park,FALSE,FALSE,point|area,leisure=park|leisure=*|historic=*,,,multipolygon
Pillar,TRUE,FALSE,point,natural=rock|natural=cliff|natural=spire|natural=peak,,,
Plain,TRUE,FALSE,point,natural=plain,,,
Populated Place,TRUE,FALSE,point|area,place=locality|place=hamlet|place=village|place=town|place=neighbourhood|place=quarter|place=suburb|place=borough|place=city|place=municipality|landuse=residential,,boundary=*|building=*|highway=*|waterway=*|power=*,multipolygon
Post Office,FALSE,FALSE,point|area,amenity=post_office,,,multipolygon|building
Range,TRUE,FALSE,point|line,natural=mountain_range|natural=ridge,,,multilinestring
Rapids,TRUE,FALSE,point|line|area,waterway=rapids|water=rapids,,,multipolygon|waterway|water
Reserve,FALSE,FALSE,point|area,leisure=nature_reserve|boundary=protected_area|boundary=national_park,,,multipolygon|boundary
Reservoir,TRUE,FALSE,point|area,natural=water|landuse=reservoir,water=reservoir,,multipolygon|water
Ridge,TRUE,FALSE,point|line,natural=ridge,,,multilinestring
School,FALSE,FALSE,point|area,amenity=school|building=school|amenity=kindergarten|building=kindergarten|amentity=university|building=university|amenity=college|building=college|amenity=prep_school,,,multipolygon|building
Sea,TRUE,FALSE,point|area,place=sea,,,multipolygon|water
Slope,TRUE,FALSE,point|line|area,natural=slope,,,multipolygon
Spring,TRUE,FALSE,point|area,natural=spring|natural=water,,,multipolygon|site|group
Stream,TRUE,TRUE,line,waterway=stream|waterway=*,,highway=*|natural=valley|power=*,waterway
Summit,TRUE,FALSE,point,natural=peak|natural=volcano|natural=hill|natural=ridge,,,
Swamp,TRUE,FALSE,area,natural=wetland,wetland=swamp|wetland=*,,multipolygon
Tower,FALSE,FALSE,point|area,man_made=tower|man_made=communications_tower|man_made=water_tower,,,multipolygon|building
Trail,FALSE,FALSE,line,highway=path|highway=footpath|highway=bridleway|highway=pedestrian|highway=track,,natural=*|waterway=*|power=*,route
Tunnel,FALSE,FALSE,point|line,tunnel=yes|tunnel=*,,,
Unknown,FALSE,FALSE,point|line|area,place=locality|place=*,,,*
Valley,TRUE,TRUE,point|line,natural=valley,,highway=*|waterway=*|power=*,multilinestring
Well,FALSE,FALSE,point|area,man_made=water_well,,,
Woods,TRUE,FALSE,point|area,natural=wood|boundary=forest,,,multipolygon|boundary
